sequence_number,path,file_type,size_bytes,line_count,purpose,runtime_surface,static_callers,dynamic_usage_checked,route_or_entrypoint,CI/deployment_usage,migration/data_dependency,security_review,performance_review,disposition,evidence,tests_required,review_status,changing_commit_sha
47,alembic/versions/20260811_whatsapp_cloud_coexistence.py,python,17256,298,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
48,alembic/versions/20260811_whatsapp_smart_followup.py,python,9166,184,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
49,api_config.py,python,845,15,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
50,backend/Dockerfile,docker,472,26,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
51,backend/Dockerfile.prod,docker,532,21,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
52,backend/Dockerfile.simple,docker,668,29,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
53,backend/requirements.txt,docs,524,40,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
54,cleanup_reports/archive_moves_phase3_2026-03-01.json,json,3145,67,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
55,cleanup_reports/cleanup_manifest_2026-03-01.json,json,61941,936,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
56,cleanup_reports/cleanup_manifest_2026-03-01.md,docs,60075,935,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
57,cleanup_reports/post_cleanup_verification_2026-03-01.md,docs,3849,44,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
58,cleanup_reports/safe_reorg_move_manifest_2026-03-01.json,json,3391,89,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
59,cleanup_reports/safe_reorg_verification_2026-03-01.json,json,4713,133,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
60,cleanup_reports/safe_reorg_verification_2026-03-01.md,docs,1310,33,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
61,config.py,python,21350,404,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
62,config/montymobile_templates.json,json,9341,173,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
63,dashboard/.dockerignore,other,43,4,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
64,dashboard/Dockerfile,docker,262,17,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
65,dashboard/Dockerfile.prod,docker,466,23,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
66,dashboard/README.md,docs,7422,274,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
67,dashboard/e2e/cm-smoke.spec.mjs,javascript,13941,388,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
68,dashboard/e2e/public-landing.spec.mjs,javascript,3169,71,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
69,dashboard/eslint.config.mjs,javascript,2468,79,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
70,dashboard/index.html,web_asset,1953,41,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
71,dashboard/jsconfig.json,json,707,25,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
72,dashboard/nginx.conf,other,516,21,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
73,dashboard/package-lock.json,json,261471,7548,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
