path,ext,bytes,loc,hand_written,fully_read,review_status,notes
dashboard/src/contexts/AuthContext.test.jsx,.jsx,8364,292,YES,YES,COMPLETE,
dashboard/src/contexts/AuthContext.users.js,.js,5036,180,YES,YES,COMPLETE,
dashboard/src/contexts/AuthContext.users.test.js,.js,1926,63,YES,YES,COMPLETE,
dashboard/src/contexts/OperatorStatusContext.jsx,.jsx,796,22,YES,YES,COMPLETE,
dashboard/src/contexts/PermissionsContext.jsx,.jsx,2260,98,YES,YES,COMPLETE,
dashboard/src/contexts/PermissionsContext.test.jsx,.jsx,1852,63,YES,YES,COMPLETE,
dashboard/src/contexts/PublicLandingLocaleContext.jsx,.jsx,1618,55,YES,YES,COMPLETE,
dashboard/src/hooks/useApi.jsx,.jsx,909,32,YES,YES,COMPLETE,
dashboard/src/hooks/useApi.locSplit.test.js,.js,929,27,YES,YES,COMPLETE,
dashboard/src/hooks/useApiClient.js,.js,2711,96,YES,YES,COMPLETE,
dashboard/src/hooks/useApiContent.js,.js,10688,306,YES,YES,COMPLETE,
dashboard/src/hooks/useApiQA.js,.js,12572,415,YES,YES,COMPLETE,
dashboard/src/hooks/useApiTesting.js,.js,11917,394,YES,YES,COMPLETE,
dashboard/src/hooks/useApiTraining.js,.js,4448,124,YES,YES,COMPLETE,
dashboard/src/index.css,.css,8683,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/src/index.jsx,.jsx,1700,55,YES,YES,COMPLETE,
dashboard/src/pages/ActivityFlow.jsx,.jsx,7473,180,YES,YES,COMPLETE,
dashboard/src/pages/ActivityFlow.locSplit.test.js,.js,1133,29,YES,YES,COMPLETE,
dashboard/src/pages/ActivityFlow.meta.js,.js,4125,95,YES,YES,COMPLETE,
dashboard/src/pages/ActivityFlow.redact.js,.js,3729,137,YES,YES,COMPLETE,added at freeze refresh
dashboard/src/pages/ActivityFlow.test.jsx,.jsx,5741,161,YES,YES,COMPLETE,
